Dataset,Model,Loss,ImRatio,AUC,ECE,SCE
stl10,densenet121,NLL,0.1,0.69259046875,0.0,0.0
stl10,densenet121,focal,0.1,0.6466609999999999,0.0,0.0
stl10,densenet121,focal,0.1,0.6026234687500001,0.0008749999999999999,0.00043749999999999995
stl10,densenet121,focal,0.1,0.5793076875000001,0.0,0.0
stl10,densenet121,,0.1,0.6848695312499999,0.3772530406266451,0.3875093738797586
c2,resnet20,AUCM,0.1,0.9592023289273929,0.012091518080234537,0.043754516517370945
c2,resnet20,NLL,0.1,0.9725249546221413,0.0022,0.0011
c2,resnet20,focal,0.1,0.9747258447706019,0.0,0.0
c2,resnet20,focal,0.1,0.9743488693296878,0.0,0.0
c2,resnet20,focal,0.1,0.9754660350887973,0.0,0.0
c2,resnet20,,0.1,0.97249967358663,0.16049448249340054,0.20448974600993097
c2,resnet20,M,0.1,0.9597967532750142,0.017569614779949207,0.0393687821097672
c2,resnet20,,0.1,0.917323173557189,0.23948274425268173,0.31250617811679837
cifar10,resnet20,AUCM,0.1,0.9374608000000001,0.06379669468402863,0.08038684613290241
cifar10,resnet20,NLL,0.1,0.94957,0.0525,0.02625
cifar10,resnet20,focal,0.1,0.94716494,0.0,0.0
cifar10,resnet20,focal,0.1,0.95019092,0.0,0.0
cifar10,resnet20,focal,0.1,0.95052048,0.0023,0.00115
cifar10,resnet20,,0.1,0.94957,0.1497031499445438,0.16513796927029034
cifar10,resnet20,M,0.1,0.9403562000000001,0.05960912936925891,0.061516313400864595
cifar10,resnet20,,0.1,0.9111327200000001,0.15835088706612585,0.20449543781671675
cifar100,resnet20,AUCM,0.1,0.7137044,0.2553170824587345,0.26521668253373354
cifar100,resnet20,NLL,0.1,0.72732536,0.0004,0.0002
cifar100,resnet20,focal,0.1,0.7335962,0.0,0.0
cifar100,resnet20,focal,0.1,0.7236445199999999,0.0,0.0
cifar100,resnet20,focal,0.1,0.70817352,0.0,0.0
cifar100,resnet20,,0.1,0.73268252,0.2888381772816181,0.3132977584604174
cifar100,resnet20,M,0.1,0.71423918,0.2378660327792168,0.23984751870324836
cifar100,resnet20,,0.1,0.5016038600000001,0.38449305295944214,0.384493138641119
stl10,resnet20,AUCM,0.1,0.767708625,0.07624773290753364,0.07757170036109164
stl10,resnet20,NLL,0.1,0.6959618750000001,0.0,0.0
stl10,resnet20,focal,0.1,0.6592390312499999,0.0,0.0
stl10,resnet20,focal,0.1,0.6947579062500001,0.0,0.0
stl10,resnet20,focal,0.1,0.7017194999999999,0.0,0.0
stl10,resnet20,,0.1,0.6933346250000001,0.4714530886039138,0.4757777407615503
stl10,resnet20,M,0.1,0.7607476874999999,0.09681361603736877,0.10074960712261963
