Dataset,CE,Focal,AUC-S,AUC-M
c2 (D),0.16890710299015044,0.0,,0.060497369313240075
cifar10 (D),0.1907168537169695,0.0,,0.11723335595726968
stl10 (D),0.3772530406266451,0.00029166666666666664,,0.11863462705910205
cifar100 (D),0.40875184535980225,0.0,,0.22323255586028098
c2 (R),0.19998861337304114,0.0,,0.012091518080234537
cifar10 (R),0.15402701850533485,0.0007666666666666667,,0.06379669468402863
stl10 (R),0.4714530886039138,0.0,,0.07624773290753364
cifar100 (R),0.3366656151205301,0.0,,0.2553170824587345
