Dataset,CE,Focal,AUC-S,AUC-M
c2 (D),0.6974077658220881,0.7068222581063587,,0.694212674951166
cifar10 (D),0.60421746,0.6883106866666667,,0.68079816
stl10 (D),0.5881518437500001,0.5908043749999999,,0.6393918125000001
cifar100 (D),,0.59163674,,0.59674762
c2 (R),0.6719249220448069,0.7446353802651756,,0.7423793678589075
cifar10 (R),0.76298778,0.7429397999999999,,0.6840133
stl10 (R),0.5897645468749999,0.5800762083333333,,
cifar100 (R),0.5955634999999999,0.5928565933333333,,0.6037357999999999
