model,dataset,imratio,ece,mce,oel,sce,ace,top1,auc
resnet18,c2,0.01,0.47696944088935855,0.7663120627403259,0.4760937911347439,0.4787258206780127,0.4787258527651007,49.68000030517578,0.8154938026261556
resnet18,stl10,0.01,0.4469229409322143,0.4531347792283369,0.44418816653552234,0.4430415963613413,0.42972052616998113,50.0,0.5810384375
resnet18,cifar100,0.01,0.4884726405143738,0.4884726405143738,0.4828418407882715,0.48847257578745484,0.0,50.0,0.5
resnet18,cifar10,0.01,0.4670263054907322,0.585227055826049,0.4649170954875575,0.47164349919971427,0.4716435073764478,50.0,0.75622426
